70	343	1
70	371	1
147	403	1
125	273	1
3	1	1
3	15	1
1	65	1
1	39	1
1	321	1
1	524	1
1	42	1
1	9	2
1	13	1
76	528	1
64	510	1
64	20	1
64	456	1
64	225	1
15	102	1
15	283	1
41	410	1
41	411	1
41	415	1
41	200	1
41	277	1
41	276	2
41	283	1
41	403	1
41	282	1
41	193	2
41	407	2
41	258	3
41	220	1
41	221	2
41	256	2
41	460	1
41	257	2
41	156	2
41	216	1
41	458	1
41	157	1
41	218	1
41	219	2
41	213	1
41	264	1
41	147	1
41	215	1
41	149	1
41	150	1
41	170	2
41	168	1
41	501	1
41	161	1
41	166	1
41	226	2
41	254	1
41	289	1
41	255	1
41	290	2
41	252	3
41	251	1
41	188	1
41	298	1
41	176	1
41	299	1
33	275	1
33	202	1
33	325	2
33	216	2
33	320	1
33	219	1
33	387	1
33	213	2
33	214	1
33	215	2
33	211	1
33	304	1
33	170	2
33	169	1
33	235	1
33	234	1
33	370	1
33	231	1
33	230	1
33	434	1
33	383	2
33	229	1
33	377	1
33	227	1
33	167	1
33	224	1
33	289	3
33	291	1
33	429	1
33	292	2
33	428	1
33	490	1
33	295	1
33	485	1
33	417	1
33	246	1
33	487	1
33	177	1
33	242	3
42	411	1
42	206	1
42	279	1
42	415	1
42	412	1
42	277	2
42	276	1
42	283	1
42	403	1
42	282	1
42	199	1
42	193	1
42	258	2
42	220	1
42	256	1
42	460	1
42	459	1
42	216	1
42	458	1
42	457	1
42	260	2
42	218	1
42	219	1
42	213	1
42	214	1
42	147	1
42	271	3
42	149	1
42	150	1
42	211	1
42	171	2
42	169	1
42	175	1
42	173	1
42	160	1
42	166	1
42	226	2
42	254	1
42	252	2
42	291	1
42	126	1
42	298	1
42	176	2
42	182	1
42	180	1
42	181	1
105	288	1
105	293	2
105	248	2
105	249	2
105	246	1
105	247	1
105	243	3
105	241	1
2	136	1
2	1	1
2	2	3
2	207	1
2	138	2
2	4	1
2	65	1
2	475	1
2	5	1
2	7	3
2	9	3
2	468	1
2	10	1
2	13	2
2	14	1
2	134	2
2	15	1
2	19	1
2	18	1
2	23	1
2	145	1
2	102	3
2	518	2
2	32	1
2	519	2
2	40	2
2	109	3
2	44	1
2	117	1
2	116	1
2	113	1
2	112	2
8	403	1
8	10	2
8	305	1
8	440	1
8	304	1
8	441	1
8	307	1
8	524	3
8	43	1
8	434	1
8	436	1
8	437	1
8	47	2
8	45	1
8	523	2
8	288	2
8	533	2
8	289	1
8	290	1
8	184	1
8	49	1
8	291	2
8	528	2
8	294	1
8	188	1
8	531	1
8	297	1
8	418	1
8	536	1
8	302	1
8	303	1
8	538	1
8	207	1
8	71	1
8	66	1
8	67	1
8	469	1
8	463	1
8	84	2
8	86	1
8	458	1
8	83	1
8	455	1
8	89	1
8	450	2
8	90	1
8	239	1
8	100	1
8	237	1
8	234	1
8	233	1
8	501	1
8	229	1
8	228	1
8	353	1
8	246	1
8	245	1
131	297	1
6	14	1
6	23	2
6	24	1
6	26	2
6	31	1
6	517	1
6	39	1
6	36	3
6	37	2
6	525	1
6	312	1
6	526	3
6	315	2
6	40	1
6	527	1
6	314	3
6	41	1
6	316	2
6	522	1
6	319	3
6	318	1
6	534	2
6	529	1
6	54	1
6	531	2
6	53	2
6	541	1
6	540	1
6	537	1
6	536	2
6	539	2
6	538	3
6	343	1
6	342	1
6	340	1
6	339	2
6	338	2
6	337	1
6	351	1
6	347	1
6	345	1
6	326	1
6	327	1
6	322	1
6	323	2
6	320	1
6	82	3
6	321	1
6	334	2
6	335	1
6	333	1
6	330	1
6	91	1
6	103	2
6	372	2
6	100	1
6	368	1
6	96	2
6	371	1
6	370	2
6	383	1
6	382	2
6	106	2
6	376	3
6	379	2
6	378	1
6	117	1
6	359	1
6	353	1
6	364	1
6	365	1
6	367	1
6	137	1
6	415	1
6	142	2
6	135	2
6	144	1
6	387	3
6	386	1
6	384	1
6	148	1
6	149	1
6	169	1
6	174	2
6	173	1
6	164	1
6	186	1
6	184	2
6	188	1
6	183	1
6	181	1
6	478	2
6	479	1
6	207	1
6	476	4
6	477	4
6	474	3
6	475	1
6	472	2
6	470	1
6	198	1
6	195	2
6	213	1
6	208	4
6	500	4
6	501	1
6	496	1
6	498	2
6	499	1
6	254	1
6	493	2
6	492	1
6	495	1
6	494	1
6	489	2
6	490	2
6	485	2
6	487	2
6	486	3
6	481	1
6	482	2
4	1	1
4	10	2
4	11	3
4	12	2
4	13	1
4	14	2
4	16	1
4	19	1
4	18	1
4	21	1
4	20	1
4	23	1
4	22	2
4	25	3
4	24	1
4	26	1
4	29	2
4	28	1
4	31	2
4	30	1
4	35	1
4	517	1
4	32	2
4	518	2
4	519	3
4	38	1
4	39	3
4	36	1
4	37	1
4	42	1
4	524	1
4	43	1
4	40	2
4	41	1
4	527	1
4	46	2
4	47	1
4	45	3
4	50	1
4	535	1
4	528	2
4	54	1
4	53	4
4	52	2
4	59	2
4	540	1
4	56	1
4	537	1
4	536	1
4	539	3
4	61	1
4	538	3
4	60	1
4	66	1
4	76	1
4	77	1
4	78	2
4	73	1
