// labID	stemID	tokID	token
9	14	149	aragorn
0	0	0	bilbo
0	3	162	frodo
0	4	70	sam
0	5	157	merri
0	8	143	pippin
9	21	123	peregrin
0	9	29	gandalf
0	10	178	tom
9	26	59	radagast
0	16	163	orc
0	19	114	legola
0	21	144	peregrin
8	32	110	treebeard
0	29	147	thjoden
9	9	73	gandalf
0	28	125	jomer
1	2	3	baggins
0	30	164	ent
1	1	1	baggin
9	8	76	pippin
10	14	64	aragorn
1	9	146	gandalf
1	7	15	troll
10	22	151	meriadoc
1	18	41	gim
10	29	166	thjoden
1	16	33	orc
9	30	111	ent
1	19	42	legola
1	24	134	gollum
1	30	105	ent
2	0	2	bilbo
2	5	8	merri
1	33	131	wormtongu
2	4	6	sam
2	3	4	frodo
11	24	141	gollum
2	10	17	tom
2	11	21	glorfindel
2	12	22	elrond
2	13	24	sauron
1	35	132	orcs
2	6	10	strider
2	7	14	troll
2	8	12	pippin
11	17	168	arwen
2	9	16	gandalf
12	3	179	frodo
2	18	75	gim
2	20	43	boromir
11	29	169	thjoden
2	21	68	peregrin
2	14	30	aragorn
11	27	100	fangorn
2	15	27	bombadil
2	16	37	orc
2	17	38	arwen
10	36	165	faramir
2	27	72	fangorn
11	8	153	pippin
2	26	60	radagast
3	0	48	bilbo
2	29	96	thjoden
2	28	94	jomer
2	23	47	denethor
2	22	91	meriadoc
2	25	52	saruman
2	24	51	gollum
2	34	120	jowyn
3	5	13	merri
2	37	154	angmar
3	8	81	pippin
2	36	136	faramir
3	7	11	troll
11	14	67	aragorn
2	31	101	uruk-hai
2	30	103	ent
2	33	119	wormtongu
11	9	66	gandalf
3	4	71	sam
2	32	102	treebeard
3	3	5	frodo
3	16	82	orc
3	13	117	sauron
12	27	108	fangorn
3	14	31	aragorn
3	11	34	glorfindel
3	12	39	elrond
2	38	174	goldberri
3	9	32	gandalf
3	23	152	denethor
12	32	107	treebeard
3	24	85	gollum
3	21	44	peregrin
3	22	45	meriadoc
12	29	116	thjoden
3	20	46	boromir
3	17	36	arwen
3	18	74	gim
12	8	135	pippin
3	32	129	treebeard
4	3	84	frodo
12	9	121	gandalf
4	2	7	baggins
12	10	175	tom
4	1	145	baggin
3	30	106	ent
3	29	98	thjoden
12	4	137	sam
3	28	126	jomer
3	27	113	fangorn
3	25	63	saruman
3	38	176	goldberri
3	36	138	faramir
3	34	124	jowyn
12	14	90	aragorn
3	33	172	wormtongu
4	16	155	orc
4	19	83	legola
4	18	93	gim
4	30	99	ent
12	36	139	faramir
5	6	9	strider
6	0	35	bilbo
5	28	95	jomer
6	12	23	elrond
6	13	53	sauron
6	10	180	tom
6	16	92	orc
6	14	25	aragorn
6	4	86	sam
6	5	78	merri
6	3	20	frodo
6	8	80	pippin
6	9	40	gandalf
6	6	26	strider
5	36	160	faramir
6	7	18	troll
6	30	171	ent
6	33	173	wormtongu
7	4	69	sam
6	32	109	treebeard
7	3	28	frodo
6	27	87	fangorn
6	26	62	radagast
6	29	97	thjoden
7	0	56	bilbo
6	28	128	jomer
6	23	142	denethor
6	22	156	meriadoc
6	25	61	saruman
6	24	54	gollum
6	19	89	legola
6	18	77	gim
6	20	49	boromir
7	18	88	gim
7	20	50	boromir
7	13	55	sauron
7	14	161	aragorn
7	16	112	orc
6	38	177	goldberri
7	9	57	gandalf
7	10	130	tom
7	12	65	elrond
6	34	148	jowyn
6	36	140	faramir
7	7	19	troll
7	8	79	pippin
7	36	159	faramir
7	34	150	jowyn
7	33	122	wormtongu
7	32	170	treebeard
7	30	104	ent
7	29	127	thjoden
7	28	118	jomer
7	25	115	saruman
7	24	133	gollum
7	23	158	denethor
8	19	58	legola
8	12	167	elrond
